G1 CONSUMER PRICE INFLATION,,,,,,,,,,,,,,,,,,,,,
Title,Consumer price index,Year-ended inflation,Year-ended inflation – excluding interest and tax changes,Year-ended inflation – excluding volatile items,Year-ended tradables inflation,Year-ended tradables inflation – excluding volatile items and tobacco,Year-ended non-tradables inflation,Year-ended non-tradable inflation – excluding interest charges and deposit & loan facilities,Year-ended weighted median inflation,Year-ended trimmed mean inflation,Quarterly inflation – original,Quarterly inflation,Quarterly inflation – excluding interest and tax changes,Quarterly inflation – excluding volatile items,Quarterly tradables inflation,Quarterly tradables inflation – excluding volatile items and tobacco,Quarterly non-tradables inflation,Quarterly non-tradables inflation – excluding deposit and loan facilities,Quarterly weighted median inflation,Quarterly trimmed mean inflation,
Description,Consumer price index; All groups,Consumer price index; Year-ended change (in per cent),Consumer price index; All groups excluding interest and tax changes of 1999–2000; Year-ended change (in per cent),Consumer price index; All groups excluding volatile items; Year-ended change (in per cent),Consumer price index; Tradables; Year-ended change (in per cent),Consumer price index; Tradables excluding volatile items and tobacco; Year-ended change (in per cent),Consumer price index; Non-tradables; Year-ended change (in per cent),Consumer price index; Non-tradables excluding interest charges and deposit & loan facilities; Year-ended change (in per cent),Consumer price index; Weighted median; Year-ended change (in per cent),Consumer price index; Trimmed mean; Year-ended change (in per cent),Consumer price index; All groups; Original; Quarterly change (in per cent),Consumer price index; All groups; Quarterly change (in per cent),Consumer price index; All groups excluding interest and tax changes of 1999–2000; Quarterly change (in per cent),Consumer price index; All groups excluding volatile items; Quarterly change (in per cent),Consumer price index; Tradables; Quarterly change (in per cent),Consumer price index; Tradables excluding volatile items and tobacco; Quarterly change (in per cent),Consumer price index; Non-tradables; Quarterly change (in per cent),Consumer price index; Non-tradables excluding deposit and loan facilities; Quarterly change (in per cent),Consumer price index; Weighted median; Quarterly change (in per cent),Consumer price index; Trimmed mean; Quarterly change (in per cent),
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,
Type,Original,Original,Original,Original,Original,Original,Original,Original,Seasonally adjusted,Seasonally adjusted,Original,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,Seasonally adjusted,
Units,"Index, 2011/12=100",Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,Per cent,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source,ABS / RBA,ABS / RBA,RBA,RBA,ABS / RBA,RBA,ABS / RBA,RBA,ABS,ABS,ABS / RBA,ABS / RBA,RBA,RBA,RBA,RBA,RBA,RBA,ABS,ABS,
Publication date,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,30-Oct-2025,
Series ID,GCPIAG,GCPIAGYP,GCPIEITCYP,GCPIXVIYP,GCPITIYP,GCPITXVIYP,GCPINTIYP,GCPINTXDLYP,GCPIOCPMWMYP,GCPIOCPMTMYP,GCPIAGQP,GCPIAGSAQP,GCPIEITCQP,GCPIXVIQP,GCPITIQP,GCPITXVIQP,GCPINTIQP,GCPINTXDLQP,GCPIOCPMWMQP,GCPIOCPMTMQP,
30/06/1922,2.8,,,,,,,,,,,,,,,,,,,,
30/09/1922,2.8,,,,,,,,,,-0.1,,,,,,,,,,
31/12/1922,2.7,,,,,,,,,,-1.1,,,,,,,,,,
31/03/1923,2.7,,,,,,,,,,0.4,,,,,,,,,,
30/06/1923,2.8,2.3,,,,,,,,,3.1,,,,,,,,,,
30/09/1923,2.9,3.8,,,,,,,,,1.4,,,,,,,,,,
31/12/1923,2.9,4.6,,,,,,,,,-0.4,,,,,,,,,,
31/03/1924,2.8,1.4,,,,,,,,,-2.6,,,,,,,,,,
30/06/1924,2.8,-1.7,,,,,,,,,0.0,,,,,,,,,,
30/09/1924,2.8,-3.7,,,,,,,,,-0.8,,,,,,,,,,
31/12/1924,2.8,-3.3,,,,,,,,,0.0,,,,,,,,,,
31/03/1925,2.8,0.8,,,,,,,,,1.6,,,,,,,,,,
30/06/1925,2.8,1.6,,,,,,,,,0.8,,,,,,,,,,
30/09/1925,2.8,2.9,,,,,,,,,0.5,,,,,,,,,,
31/12/1925,2.8,2.8,,,,,,,,,-0.1,,,,,,,,,,
31/03/1926,2.8,1.5,,,,,,,,,0.3,,,,,,,,,,
30/06/1926,2.9,2.7,,,,,,,,,1.9,,,,,,,,,,
30/09/1926,2.9,0.8,,,,,,,,,-1.4,,,,,,,,,,
31/12/1926,2.8,0.5,,,,,,,,,-0.3,,,,,,,,,,
31/03/1927,2.8,-0.6,,,,,,,,,-0.8,,,,,,,,,,
30/06/1927,2.8,-3.0,,,,,,,,,-0.5,,,,,,,,,,
30/09/1927,2.8,-0.5,,,,,,,,,1.0,,,,,,,,,,
31/12/1927,2.9,0.5,,,,,,,,,0.8,,,,,,,,,,
31/03/1928,2.9,1.1,,,,,,,,,-0.2,,,,,,,,,,
30/06/1928,2.9,2.1,,,,,,,,,0.5,,,,,,,,,,
30/09/1928,2.9,0.3,,,,,,,,,-0.8,,,,,,,,,,
31/12/1928,2.9,-0.5,,,,,,,,,0.0,,,,,,,,,,
31/03/1929,2.9,2.3,,,,,,,,,2.6,,,,,,,,,,
30/06/1929,2.9,1.8,,,,,,,,,0.0,,,,,,,,,,
30/09/1929,2.9,2.6,,,,,,,,,0.0,,,,,,,,,,
31/12/1929,2.9,2.5,,,,,,,,,-0.1,,,,,,,,,,
31/03/1930,2.8,-2.9,,,,,,,,,-2.8,,,,,,,,,,
30/06/1930,2.8,-3.9,,,,,,,,,-1.0,,,,,,,,,,
30/09/1930,2.7,-6.5,,,,,,,,,-2.7,,,,,,,,,,
31/12/1930,2.6,-10.3,,,,,,,,,-4.1,,,,,,,,,,
31/03/1931,2.6,-10.0,,,,,,,,,-2.6,,,,,,,,,,
30/06/1931,2.5,-11.4,,,,,,,,,-2.5,,,,,,,,,,
30/09/1931,2.4,-11.6,,,,,,,,,-2.8,,,,,,,,,,
31/12/1931,2.4,-8.8,,,,,,,,,-1.2,,,,,,,,,,
31/03/1932,2.4,-6.5,,,,,,,,,-0.1,,,,,,,,,,
30/06/1932,2.4,-5.1,,,,,,,,,-1.1,,,,,,,,,,
30/09/1932,2.3,-3.6,,,,,,,,,-1.3,,,,,,,,,,
31/12/1932,2.3,-4.3,,,,,,,,,-1.8,,,,,,,,,,
31/03/1933,2.3,-5.4,,,,,,,,,-1.4,,,,,,,,,,
30/06/1933,2.3,-3.9,,,,,,,,,0.5,,,,,,,,,,
30/09/1933,2.3,-2.3,,,,,,,,,0.4,,,,,,,,,,
31/12/1933,2.3,-0.6,,,,,,,,,-0.1,,,,,,,,,,
31/03/1934,2.3,1.3,,,,,,,,,0.5,,,,,,,,,,
30/06/1934,2.3,1.7,,,,,,,,,1.0,,,,,,,,,,
30/09/1934,2.3,1.4,,,,,,,,,0.0,,,,,,,,,,
31/12/1934,2.3,1.9,,,,,,,,,0.4,,,,,,,,,,
31/03/1935,2.3,1.7,,,,,,,,,0.4,,,,,,,,,,
30/06/1935,2.3,1.1,,,,,,,,,0.4,,,,,,,,,,
30/09/1935,2.4,2.3,,,,,,,,,1.2,,,,,,,,,,
31/12/1935,2.4,2.1,,,,,,,,,0.1,,,,,,,,,,
31/03/1936,2.4,1.7,,,,,,,,,0.0,,,,,,,,,,
30/06/1936,2.4,1.8,,,,,,,,,0.5,,,,,,,,,,
30/09/1936,2.4,2.3,,,,,,,,,1.7,,,,,,,,,,
31/12/1936,2.4,2.9,,,,,,,,,0.7,,,,,,,,,,
31/03/1937,2.4,3.1,,,,,,,,,0.2,,,,,,,,,,
30/06/1937,2.4,3.1,,,,,,,,,0.5,,,,,,,,,,
30/09/1937,2.5,2.3,,,,,,,,,0.9,,,,,,,,,,
31/12/1937,2.5,2.4,,,,,,,,,0.8,,,,,,,,,,
31/03/1938,2.5,2.4,,,,,,,,,0.2,,,,,,,,,,
30/06/1938,2.5,3.0,,,,,,,,,1.0,,,,,,,,,,
30/09/1938,2.6,3.3,,,,,,,,,1.2,,,,,,,,,,
31/12/1938,2.6,2.5,,,,,,,,,0.0,,,,,,,,,,
31/03/1939,2.6,3.8,,,,,,,,,1.5,,,,,,,,,,
30/06/1939,2.6,2.6,,,,,,,,,-0.2,,,,,,,,,,
30/09/1939,2.6,1.2,,,,,,,,,-0.1,,,,,,,,,,
31/12/1939,2.6,2.3,,,,,,,,,1.1,,,,,,,,,,
31/03/1940,2.6,1.2,,,,,,,,,0.4,,,,,,,,,,
30/06/1940,2.7,4.0,,,,,,,,,2.6,,,,,,,,,,
30/09/1940,2.7,4.7,,,,,,,,,0.5,,,,,,,,,,
31/12/1940,2.8,6.5,,,,,,,,,2.8,,,,,,,,,,
31/03/1941,2.8,7.0,,,,,,,,,0.9,,,,,,,,,,
30/06/1941,2.8,4.8,,,,,,,,,0.5,,,,,,,,,,
30/09/1941,2.8,5.2,,,,,,,,,0.9,,,,,,,,,,
31/12/1941,2.9,4.4,,,,,,,,,2.0,,,,,,,,,,
31/03/1942,3.0,5.8,,,,,,,,,2.3,,,,,,,,,,
30/06/1942,3.1,8.1,,,,,,,,,2.7,,,,,,,,,,
30/09/1942,3.1,9.6,,,,,,,,,2.3,,,,,,,,,,
31/12/1942,3.2,9.0,,,,,,,,,1.4,,,,,,,,,,
31/03/1943,3.2,6.6,,,,,,,,,0.1,,,,,,,,,,
30/06/1943,3.2,5.7,,,,,,,,,1.8,,,,,,,,,,
30/09/1943,3.2,2.4,,,,,,,,,-0.9,,,,,,,,,,
31/12/1943,3.2,0.1,,,,,,,,,-0.9,,,,,,,,,,
31/03/1944,3.2,0.1,,,,,,,,,0.1,,,,,,,,,,
30/06/1944,3.2,-1.6,,,,,,,,,0.1,,,,,,,,,,
30/09/1944,3.2,-0.4,,,,,,,,,0.4,,,,,,,,,,
31/12/1944,3.2,0.3,,,,,,,,,-0.3,,,,,,,,,,
31/03/1945,3.2,-0.1,,,,,,,,,-0.3,,,,,,,,,,
30/06/1945,3.2,0.0,,,,,,,,,0.2,,,,,,,,,,
30/09/1945,3.2,-0.3,,,,,,,,,0.1,,,,,,,,,,
31/12/1945,3.2,0.3,,,,,,,,,0.3,,,,,,,,,,
31/03/1946,3.2,1.0,,,,,,,,,0.4,,,,,,,,,,
30/06/1946,3.2,1.8,,,,,,,,,1.0,,,,,,,,,,
30/09/1946,3.2,1.8,,,,,,,,,0.1,,,,,,,,,,
31/12/1946,3.3,2.4,,,,,,,,,0.9,,,,,,,,,,
31/03/1947,3.3,2.7,,,,,,,,,0.8,,,,,,,,,,
30/06/1947,3.3,2.5,,,,,,,,,0.8,,,,,,,,,,
30/09/1947,3.4,4.0,,,,,,,,,1.5,,,,,,,,,,
31/12/1947,3.4,5.6,,,,,,,,,2.4,,,,,,,,,,
31/03/1948,3.5,7.1,,,,,,,,,2.2,,,,,,,,,,
30/06/1948,3.6,8.9,,,,,,,,,2.4,,,,,,,,,,
30/09/1948,3.7,10.0,,,,,,,,,2.6,,,,,,,,,,
31/12/1948,3.8,10.3,,,,,,,,,2.7,,,,,,,,,,
31/03/1949,3.9,10.7,,,,,,,,,2.6,,,,,,,,,,
30/06/1949,4.0,10.9,,,,,,,,,2.6,,,,,,,,,,
30/09/1949,4.1,10.8,,,,,,,,,2.5,,,,,,,,,,
31/12/1949,4.1,7.9,,,,,,,,,0.0,,,,,,,,,,
31/03/1950,4.2,7.7,,,,,,,,,2.4,,,,,,,,,,
30/06/1950,4.3,7.5,,,,,,,,,2.4,,,,,,,,,,
30/09/1950,4.4,7.3,,,,,,,,,2.3,,,,,,,,,,
31/12/1950,4.6,12.2,,,,,,,,,4.5,,,,,,,,,,
31/03/1951,4.8,14.3,,,,,,,,,4.3,,,,,,,,,,
30/06/1951,5.1,18.6,,,,,,,,,6.3,,,,,,,,,,
30/09/1951,5.3,20.5,,,,,,,,,3.9,,,,,,,,,,
31/12/1951,5.7,23.9,,,,,,,,,7.5,,,,,,,,,,
31/03/1952,5.9,22.9,,,,,,,,,3.5,,,,,,,,,,
30/06/1952,6.1,19.6,,,,,,,,,3.4,,,,,,,,,,
30/09/1952,6.2,17.0,,,,,,,,,1.6,,,,,,,,,,
31/12/1952,6.3,10.5,,,,,,,,,1.6,,,,,,,,,,
31/03/1953,6.3,6.8,,,,,,,,,0.0,,,,,,,,,,
30/06/1953,6.4,4.9,,,,,,,,,1.6,,,,,,,,,,
30/09/1953,6.5,4.8,,,,,,,,,1.6,,,,,,,,,,
31/12/1953,6.4,1.6,,,,,,,,,-1.5,,,,,,,,,,
31/03/1954,6.5,3.2,,,,,,,,,1.6,,,,,,,,,,
30/06/1954,6.5,1.6,,,,,,,,,0.0,,,,,,,,,,
30/09/1954,6.5,0.0,,,,,,,,,0.0,,,,,,,,,,
31/12/1954,6.5,1.6,,,,,,,,,0.0,,,,,,,,,,
31/03/1955,6.5,0.0,,,,,,,,,0.0,,,,,,,,,,
30/06/1955,6.6,1.5,,,,,,,,,1.5,,,,,,,,,,
30/09/1955,6.6,1.5,,,,,,,,,0.0,,,,,,,,,,
31/12/1955,6.7,3.1,,,,,,,,,1.5,,,,,,,,,,
31/03/1956,6.7,3.1,,,,,,,,,0.0,,,,,,,,,,
30/06/1956,7.0,6.1,,,,,,,,,4.5,,,,,,,,,,
30/09/1956,7.1,7.6,,,,,,,,,1.4,,,,,,,,,,
31/12/1956,7.1,6.0,,,,,,,,,0.0,,,,,,,,,,
31/03/1957,7.1,6.0,,,,,,,,,0.0,,,,,,,,,,
30/06/1957,7.2,2.9,,,,,,,,,1.4,,,,,,,,,,
30/09/1957,7.2,1.4,,,,,,,,,0.0,,,,,,,,,,
31/12/1957,7.2,1.4,,,,,,,,,0.0,,,,,,,,,,
31/03/1958,7.2,1.4,,,,,,,,,0.0,,,,,,,,,,
30/06/1958,7.2,0.0,,,,,,,,,0.0,,,,,,,,,,
30/09/1958,7.2,0.0,,,,,,,,,0.0,,,,,,,,,,
31/12/1958,7.3,1.4,,,,,,,,,1.4,,,,,,,,,,
31/03/1959,7.3,1.4,,,,,,,,,0.0,,,,,,,,,,
30/06/1959,7.3,1.4,,,,,,,,,0.0,,,,,,,,,,
30/09/1959,7.4,2.8,,,,,,,,,1.4,,,,,,,,,,
31/12/1959,7.5,2.7,,,,,,,,,1.4,,,,,,,,,,
31/03/1960,7.5,2.7,2.7,,,,,,,,0.0,,,,,,,,,,
30/06/1960,7.6,4.1,4.1,,,,,,,,1.3,,,,,,,,,,
30/09/1960,7.7,4.1,4.1,,,,,,,,1.3,,,,,,,,,,
31/12/1960,7.8,4.0,4.0,,,,,,,,1.3,,,,,,,,,,
31/03/1961,7.8,4.0,4.0,,,,,,,,0.0,,,,,,,,,,
30/06/1961,7.9,3.9,3.9,,,,,,,,1.3,,,,,,,,,,
30/09/1961,7.8,1.3,1.3,,,,,,,,-1.3,,,,,,,,,,
31/12/1961,7.8,0.0,0.0,,,,,,,,0.0,,,,,,,,,,
31/03/1962,7.8,0.0,0.0,,,,,,,,0.0,,,,,,,,,,
30/06/1962,7.8,-1.3,-1.3,,,,,,,,0.0,,,,,,,,,,
30/09/1962,7.8,0.0,0.0,,,,,,,,0.0,,,,,,,,,,
31/12/1962,7.8,0.0,0.0,,,,,,,,0.0,,,,,,,,,,
31/03/1963,7.8,0.0,0.0,,,,,,,,0.0,,,,,,,,,,
30/06/1963,7.8,0.0,0.0,,,,,,,,0.0,,,,,,,,,,
30/09/1963,7.9,1.3,1.3,,,,,,,,1.3,,,,,,,,,,
31/12/1963,7.9,1.3,1.3,,,,,,,,0.0,,,,,,,,,,
31/03/1964,8.0,2.6,2.6,,,,,,,,1.3,,,,,,,,,,
30/06/1964,8.0,2.6,2.6,,,,,,,,0.0,,,,,,,,,,
30/09/1964,8.1,2.5,2.5,,,,,,,,1.3,,,,,,,,,,
31/12/1964,8.2,3.8,3.8,,,,,,,,1.2,,,,,,,,,,
31/03/1965,8.2,2.5,2.5,,,,,,,,0.0,,,,,,,,,,
30/06/1965,8.3,3.8,3.8,,,,,,,,1.2,,,,,,,,,,
30/09/1965,8.4,3.7,3.7,,,,,,,,1.2,,,,,,,,,,
31/12/1965,8.5,3.7,3.7,,,,,,,,1.2,,,,,,,,,,
31/03/1966,8.6,4.9,4.9,,,,,,,,1.2,,,,,,,,,,
30/06/1966,8.6,3.6,3.6,,,,,,,,0.0,,,,,,,,,,
30/09/1966,8.6,2.4,2.4,,,,,,,,0.0,,,,,,,,,,
31/12/1966,8.7,2.4,2.4,,,,,,,,1.2,,,,,,,,,,
31/03/1967,8.8,2.3,2.3,,,,,,,,1.1,,,,,,,,,,
30/06/1967,8.9,3.5,3.5,,,,,,,,1.1,,,,,,,,,,
30/09/1967,9.0,4.7,4.7,,,,,,,,1.1,,,,,,,,,,
31/12/1967,9.0,3.4,3.4,,,,,,,,0.0,,,,,,,,,,
31/03/1968,9.1,3.4,3.4,,,,,,,,1.1,,,,,,,,,,
30/06/1968,9.1,2.2,2.2,,,,,,,,0.0,,,,,,,,,,
30/09/1968,9.2,2.2,2.2,,,,,,,,1.1,,,,,,,,,,
31/12/1968,9.2,2.2,2.2,,,,,,,,0.0,,,,,,,,,,
31/03/1969,9.4,3.3,3.3,,,,,,,,2.2,,,,,,,,,,
30/06/1969,9.4,3.3,3.3,,,,,,,,0.0,,,,,,,,,,
30/09/1969,9.5,3.3,3.3,,,,,,,,1.1,,,,,,,,,,
31/12/1969,9.5,3.3,3.3,,,,,,,,0.0,,,,,,,,,,
31/03/1970,9.6,2.1,2.1,,,,,,,,1.1,,,,,,,,,,
30/06/1970,9.7,3.2,3.2,,,,,,,,1.0,,,,,,,,,,
30/09/1970,9.8,3.2,3.2,,,,,,,,1.0,,,,,,,,,,
31/12/1970,10.0,5.3,5.3,,,,,,,,2.0,,,,,,,,,,
31/03/1971,10.1,5.2,5.2,,,,,,,,1.0,,,,,,,,,,
30/06/1971,10.2,5.2,5.2,,,,,,,,1.0,,,,,,,,,,
30/09/1971,10.5,7.1,7.1,,,,,,,,2.9,,,,,,,,,,
31/12/1971,10.7,7.0,7.0,,,,,,,,1.9,,,,,,,,,,
31/03/1972,10.8,6.9,6.9,,,,,,,,0.9,,,,,,,,,,
30/06/1972,10.9,6.9,6.9,,,,,,,,0.9,,,,,,,,,,
30/09/1972,11.1,5.7,5.7,,,,,,,,1.8,,,,,,,,,,
31/12/1972,11.2,4.7,4.7,,,,,,,,0.9,,,,,,,,,,
31/03/1973,11.4,5.6,5.6,,,,,,,,1.8,,,,,,,,,,
30/06/1973,11.8,8.3,8.3,,,,,,,,3.5,,,,,,,,,,
30/09/1973,12.2,9.9,9.9,,,,,,,,3.4,,,,,,,,,,
31/12/1973,12.6,12.5,12.5,,,,,,,,3.3,,,,,,,,,,
31/03/1974,13.0,14.0,14.0,,,,,,,,3.2,,,,,,,,,,
30/06/1974,13.5,14.4,14.4,,,,,,,,3.8,,,,,,,,,,
30/09/1974,14.2,16.4,16.4,,,,,,,,5.2,,,,,,,,,,
31/12/1974,14.7,16.7,16.7,,,,,,,,3.5,,,,,,,,,,
31/03/1975,15.3,17.7,17.7,,,,,,,,4.1,,,,,,,,,,
30/06/1975,15.8,17.0,17.0,,,,,,,,3.3,,,,,,,,,,
30/09/1975,15.9,12.0,12.0,,,,,,,,0.6,,,,,,,,,,
31/12/1975,16.8,14.3,14.3,,,,,,,,5.7,,,,,,,,,,
31/03/1976,17.3,13.1,13.1,,,,,,,,3.0,,,,,,,,,,
30/06/1976,17.7,12.0,12.0,,,,,,,,2.3,,,,,,,,,,
30/09/1976,18.1,13.8,13.8,,,,,,,,2.3,,,,,,,,,,
31/12/1976,19.2,14.3,14.3,,,,,,,,6.1,,,,,,,,,,
31/03/1977,19.6,13.3,13.3,,,,,,,,2.1,,,,,,,,,,
30/06/1977,20.1,13.6,13.6,,,,,,,,2.6,,,,,,,,,,
