area,area_type,district_code,house_number,legal_description,locality,nature_of_property,postcode,primary_purpose,property_id,property_name,strata_lot_number,street_name,unit_number,zoning
,,260,71,3/SP35801,SILVERWATER,3,2128,COMMERCIAL,1308717,,3,ASQUITH ST,3,
,,260,28,6/SP64618,SILVERWATER,R,2128,RESIDENCE,1308770,,6,ASQUITH ST,6,
,,260,76,4/SP54182,SILVERWATER,R,2128,RESIDENCE,1309351,,4,BEACONSFIELD ST,4,
,,260,74,1/SP64104,SILVERWATER,R,2128,RESIDENCE,1309364,,1,BEACONSFIELD ST,1,
,,260,44,1/SP47391,SILVERWATER,R,2128,RESIDENCE,1309379,,1,BEACONSFIELD ST,1,
,,260,27,121/SP60794,WENTWORTH POINT,R,2127,RESIDENCE,1309611,,121,BENNELONG PKWY,121,
,,260,29,52/SP60027,WENTWORTH POINT,R,2127,RESIDENCE,1309760,,52,BENNELONG PKWY,52,
,,260,11,31/SP58861,NEWINGTON,R,2127,RESIDENCE,1310026,GLADES,31,BLAXLAND AVE,1,
,,260,17,14/SP59118,NEWINGTON,R,2127,RESIDENCE,1310076,,14,BLAXLAND AVE,14,
,,260,19,22/SP60403,NEWINGTON,R,2127,RESIDENCE,1310104,CENTENNIAL,22,BLAXLAND AVE,22,
,,260,21,8/SP61032,NEWINGTON,R,2127,RESIDENCE,1310133,BOTANICAL,8,BLAXLAND AVE,8,
,,260,77,7/SP60969,SILVERWATER,R,2128,RESIDENCE,1313547,,7,DEAKIN ST,7,
,,260,55,1/SP30026,SILVERWATER,3,2128,INDUSTRIAL,1313752,,1,DERBY ST,1,
,,260,49,5/SP35777,SILVERWATER,R,2128,RESIDENCE,1313755,,5,DERBY ST,5,
237.0,M,260,50,5/SP51945,SILVERWATER,3,2128,COMMERCIAL,1313778,,5,DERBY ST,5,
,,260,104 A,1/SP36335,SILVERWATER,3,2128,COMMERCIAL,1313793,,1,DERBY ST,1,
