sale_counter,property_id,contract_date,settlement_date,purchase_price,component_code,sale_code,interest_percent,dealing_number
1,3461773,2023-11-28,2023-12-22,756500,,,0,AT729989
2,4173612,2023-11-11,2023-12-22,700000,,,0,AT731122
4,870023,2023-11-14,2023-12-22,1250000,,,0,AT733492
8,4092793,2023-11-13,2023-12-22,720000,,,0,AT731421
9,4092793,2023-11-20,2023-12-22,565000,,,0,AT731295
10,4044789,2023-12-14,2023-12-22,910000,,,0,AT731689
11,4080014,2023-12-07,2023-12-28,520000,,,0,AT736168
12,4093256,2023-12-07,2023-12-22,621000,,,0,AT730100
13,4131997,2023-11-24,2023-12-28,775000,,,0,AT735757
15,4520267,2023-10-06,2023-12-22,605000,,,0,AT730913
16,4520267,2023-11-28,2023-12-22,620000,,,0,AT733166
17,4520267,2023-10-24,2023-12-22,1110000,,,50,AT733241
18,4520267,2023-11-13,2023-12-22,850000,,,0,AT729877
19,4520267,2023-09-25,2023-12-22,853000,,,0,AT732540
20,3778729,2023-09-07,2023-10-24,610000,,,0,AT542950
21,3880414,2023-11-16,2023-12-22,895000,,,0,AT731283
22,3952222,2023-11-22,2023-12-22,785000,,,0,AT729981
23,4253054,2023-11-30,2023-12-22,950000,,,0,AT732432
24,4335692,2023-10-25,2023-12-27,1165000,,,0,AT735206
1,3477786,2023-12-20,2023-12-28,850000,,,0,AT736718
2,4170618,2023-10-06,2023-12-27,1100000,,,0,AT734337
3,3678749,2023-11-23,2023-12-22,680000,,,0,AT730920
4,1911815,2023-10-19,2023-12-22,1300000,,,0,AT732043
5,1901803,2023-11-17,2023-12-22,780000,,,0,AT730517
6,2843647,2023-11-27,2023-12-22,1180000,,,0,AT732649
7,3299221,2023-11-24,2023-12-22,826000,,,0,AT730180
8,3814471,2023-12-06,2023-12-22,902000,,,0,AT732283
9,4014793,2023-10-30,2023-12-22,510000,,,0,AT733358
1,810529,2023-12-06,2023-12-22,670000,,,0,AT731668
2,810720,2023-11-13,2023-12-22,323000,,,0,AT732354
4,842076,2023-11-17,2023-12-22,550000,,,0,AT731562
5,3004220,2023-11-14,2023-12-27,835000,,,0,AT734826
6,4162338,2023-10-27,2023-12-22,730000,,,0,AT731233
7,4221798,2023-11-16,2023-12-28,820000,,,0,AT735754
11,1310076,2023-11-11,2023-12-22,825000,,,0,AT731560
12,1313778,2023-09-15,2023-12-22,1650000,,,0,AT730800
13,3054208,2023-11-08,2023-12-22,907000,,,0,AT731382
14,3139601,2023-10-23,2023-12-22,440000,,,0,AT731292
15,4045853,2023-11-12,2023-12-27,600000,,,0,AT734478
16,4067507,2023-12-13,2023-12-22,750000,,,50,AT732994
18,4049003,2023-11-21,2023-12-22,740000,,,0,AT729789
19,4049003,2023-11-15,2023-12-22,572000,,,0,AT732693
20,4067507,2023-12-13,2023-12-22,640000,,,50,AT733305
21,4074040,2023-11-16,2023-12-27,845000,,,0,AT734493
22,4498625,2023-04-11,2023-12-18,1179000,,,0,AT705263
28,4498625,2023-09-13,2023-10-10,800000,,XA,0,AT505106
29,4498625,2022-03-25,2023-12-15,1555000,,,0,AT698882
30,4498625,2023-05-03,2023-10-05,2146000,,XA,0,AT493990
31,4498625,2022-04-06,2023-09-29,1540000,,XA,0,AT482427
32,4498625,2023-11-21,2023-12-01,2170000,,XA,0,AT652964
33,4498625,2023-03-03,2023-10-09,2071000,,XA,0,AT504525
36,3111723,2023-11-24,2023-12-22,520000,,,0,AT731289
37,3214126,2023-10-27,2023-12-22,855000,,,0,AT730822
39,3732832,2023-11-03,2023-12-22,690000,,,0,AT731995
41,2856989,2023-11-10,2023-12-22,448000,,,0,AT732285
42,4498625,2023-06-19,2023-07-31,1190000,,XA,0,AT308606
43,4498625,2023-09-12,2023-09-27,1480000,,XA,0,AT472150
44,4498625,2022-09-16,2023-07-05,1436680,,XA,0,AT237949
45,4498625,2022-05-24,2023-07-05,1137000,,XA,0,AT239522
